cycle,soh_A,ri_A,temp_A,curr_A,soh_B,ri_B,temp_B,curr_B
1,100.0,0.08,31.4,2.0,100.0,0.08,31.4,2.0
2,99.81856,0.08021772799999999,31.41741824,2.0,99.81856,0.08021772799999999,31.41741824,2.0
3,99.63695278489601,0.08043565665812479,31.434852532649984,2.0,99.63695278489601,0.08043565665812479,31.434852532649984,2.0
4,99.45517820058257,0.08065378615930092,31.452302892744072,2.0,99.45517820058257,0.08065378615930092,31.452302892744072,2.0
5,99.27323609281223,0.08087211668862533,31.469769335090028,2.0,99.27323609281223,0.08087211668862533,31.469769335090028,2.0
6,99.09112630719537,0.08109064843136557,31.487251874509248,2.0,99.09112630719537,0.08109064843136557,31.487251874509248,2.0
7,98.90884868920008,0.0813093815729599,31.50475052583679,2.0,98.90884868920008,0.0813093815729599,31.50475052583679,2.0
8,98.72640308415205,0.08152831629901754,31.5222653039214,2.0,98.72640308415205,0.08152831629901754,31.5222653039214,2.0
9,98.54378933723441,0.0817474527953187,31.539796223625494,2.0,98.54378933723441,0.0817474527953187,31.539796223625494,2.0
10,98.36100729348762,0.08196679124781486,31.557343299825188,2.0,98.36100729348762,0.08196679124781486,31.557343299825188,2.0
11,98.17805679780929,0.08218633184262884,31.574906547410308,2.0,98.17805679780929,0.08218633184262884,31.574906547410308,2.0
12,97.99493769495415,0.08240607476605502,31.5924859812844,2.0,97.99493769495415,0.08240607476605502,31.5924859812844,2.0
13,97.81164982953382,0.08262602020455942,31.610081616364752,2.0,97.81164982953382,0.08262602020455942,31.610081616364752,2.0
14,97.62819304601672,0.08284616834477994,31.627693467582397,2.0,97.62819304601672,0.08284616834477994,31.627693467582397,2.0
15,97.44456718872793,0.08306651937352648,31.64532154988212,2.0,97.44456718872793,0.08306651937352648,31.64532154988212,2.0
16,97.26077210184906,0.08328707347778114,31.66296587822249,2.0,97.26077210184906,0.08328707347778114,31.66296587822249,2.0
17,97.07680762941813,0.08350783084469825,31.68062646757586,2.0,97.07680762941813,0.08350783084469825,31.68062646757586,2.0
18,96.8926736153294,0.08372879166160471,31.698303332928376,2.0,96.8926736153294,0.08372879166160471,31.698303332928376,2.0
19,96.70836990333329,0.08394995611600005,31.715996489280002,2.0,96.70836990333329,0.08394995611600005,31.715996489280002,2.0
20,96.5238963370362,0.08417132439555655,31.733705951644524,2.0,96.5238963370362,0.08417132439555655,31.733705951644524,2.0
21,96.33925275990042,0.0843928966881195,31.75143173504956,2.0,96.33925275990042,0.0843928966881195,31.75143173504956,2.0
22,96.15443901524394,0.08461467318170728,31.769173854536582,2.0,96.15443901524394,0.08461467318170728,31.769173854536582,2.0
23,95.96945494624039,0.08483665406451155,31.786932325160926,2.0,95.96945494624039,0.08483665406451155,31.786932325160926,2.0
24,95.78430039591885,0.08505883952489737,31.80470716199179,2.0,95.78430039591885,0.08505883952489737,31.80470716199179,2.0
25,95.59897520716373,0.08528122975140352,31.822498380112282,2.0,95.59897520716373,0.08528122975140352,31.822498380112282,2.0
26,95.41347922271466,0.08550382493274242,31.840305994619392,2.0,95.41347922271466,0.08550382493274242,31.840305994619392,2.0
27,95.22781228516631,0.08572662525780043,31.858130020624035,2.0,95.22781228516631,0.08572662525780043,31.858130020624035,2.0
28,95.04197423696831,0.08594963091563802,31.87597047325104,2.0,95.04197423696831,0.08594963091563802,31.87597047325104,2.0
29,94.85596492042511,0.08617284209548988,31.89382736763919,2.0,94.85596492042511,0.08617284209548988,31.89382736763919,2.0
30,94.66978417769577,0.08639625898676506,31.911700718941205,2.0,94.66978417769577,0.08639625898676506,31.911700718941205,2.0
31,94.48343185079393,0.08661988177904728,31.929590542323783,2.0,94.48343185079393,0.08661988177904728,31.929590542323783,2.0
32,94.29690778158762,0.08684371066209487,31.94749685296759,2.0,94.29690778158762,0.08684371066209487,31.94749685296759,2.0
33,94.11021181179913,0.08706774582584105,31.965419666067284,2.0,94.11021181179913,0.08706774582584105,31.965419666067284,2.0
34,93.92334378300488,0.08729198746039414,31.98335899683153,2.0,93.92334378300488,0.08729198746039414,31.98335899683153,2.0
35,93.7363035366353,0.08751643575603764,32.00131486048301,2.0,93.7363035366353,0.08751643575603764,32.00131486048301,2.0
36,93.54909091397467,0.08774109090323041,32.01928727225843,2.0,93.54909091397467,0.08774109090323041,32.01928727225843,2.0
37,93.36170575616099,0.08796595309260681,32.03727624740854,2.0,93.36170575616099,0.08796595309260681,32.03727624740854,2.0
38,93.17414790418586,0.08819102251497697,32.055281801198156,2.0,93.17414790418586,0.08819102251497697,32.055281801198156,2.0
39,92.98641719889436,0.08841629936132676,32.073303948906144,2.0,92.98641719889436,0.08841629936132676,32.073303948906144,2.0
40,92.79851348098487,0.08864178382281816,32.091342705825454,2.0,92.79851348098487,0.08864178382281816,32.091342705825454,2.0
41,92.61043659100895,0.08886747609078925,32.10939808726314,2.0,92.61043659100895,0.08886747609078925,32.10939808726314,2.0
42,92.42218636937122,0.08909337635675454,32.127470108540365,2.0,92.42218636937122,0.08909337635675454,32.127470108540365,2.0
43,92.23376265632923,0.08931948481240491,32.145558784992396,2.0,92.23376265632923,0.08931948481240491,32.145558784992396,2.0
44,92.0451652919933,0.08954580164960804,32.163664131968645,2.0,92.0451652919933,0.08954580164960804,32.163664131968645,2.0
45,91.8563941163264,0.08977232706040832,32.181786164832666,2.0,91.8563941163264,0.08977232706040832,32.181786164832666,2.0
46,91.667448969144,0.08999906123702721,32.19992489896218,2.0,91.667448969144,0.08999906123702721,32.19992489896218,2.0
47,91.47832969011397,0.09022600437186323,32.21808034974906,2.0,91.47832969011397,0.09022600437186323,32.21808034974906,2.0
48,91.28903611875637,0.09045315665749236,32.23625253259939,2.0,91.28903611875637,0.09045315665749236,32.23625253259939,2.0
49,91.09956809444341,0.09068051828666791,32.254441462933436,2.0,91.09956809444341,0.09068051828666791,32.254441462933436,2.0
50,90.90992545639925,0.09090808945232091,32.27264715618567,2.0,90.90992545639925,0.09090808945232091,32.27264715618567,2.0
51,90.72010804369987,0.09113587034756016,32.29086962780481,2.0,90.72010804369987,0.09113587034756016,32.29086962780481,2.0
52,90.53011569527294,0.09136386116567247,32.3091088932538,2.0,90.53011569527294,0.09136386116567247,32.3091088932538,2.0
53,90.3399482498977,0.09159206210012276,32.32736496800982,2.0,90.3399482498977,0.09159206210012276,32.32736496800982,2.0
54,90.14960554620481,0.09182047334455422,32.345637867564335,2.0,90.14960554620481,0.09182047334455422,32.345637867564335,2.0
55,89.95908742267619,0.09204909509278857,32.363927607423086,2.0,89.95908742267619,0.09204909509278857,26.84098190185577,1.0
56,89.76839371764493,0.09227792753882609,32.38223420310609,2.0,89.82141399641837,0.09221430320429796,26.84428606408596,1.0
57,89.57752426929511,0.09250697087684588,32.40055767014767,2.0,89.68370885020315,0.09237954937975623,26.847590987595126,1.0
58,89.3864789156617,0.09273622530120595,32.41889802409648,2.0,89.54597197672223,0.09254483362793332,26.850896672558665,1.0
59,89.19525749463037,0.09296569100644356,32.43725528051549,2.0,89.40820336866567,0.09271015595760121,26.854203119152025,1.0
60,89.00385984393742,0.0931953681872751,32.45562945498201,2.0,89.27040301872181,0.09287551637753383,26.857510327550678,1.0
61,88.8122858011696,0.09342525703859648,32.47402056308772,2.0,89.13257091957732,0.09304091489650722,26.860818297930145,1.0
62,88.62053520376395,0.09365535775548325,32.49242862043866,2.0,88.99470706391719,0.09320635152329937,26.864127030465987,1.0
63,88.42860788900774,0.09388567053319072,32.510853642655256,2.0,88.85681144442472,0.09337182626669034,26.867436525333808,1.0
64,88.23650369403825,0.0941161955671541,32.52929564537233,2.0,88.71888405378152,0.09353733913546217,26.870746782709244,1.0
65,88.04422245584267,0.09434693305298879,32.547754644239106,2.0,88.58092488466751,0.09370289013839898,26.87405780276798,1.0
66,87.85176401125797,0.09457788318649044,32.56623065491924,2.0,88.44293392976094,0.09386847928428686,26.877369585685738,1.0
67,87.65912819697074,0.0948090461636351,32.58472369309081,2.0,88.30491118173836,0.09403410658191398,26.88068213163828,1.0
68,87.46631484951708,0.09504042218057951,32.60323377444636,2.0,88.16685663327463,0.09419977204007043,26.88399544080141,1.0
69,87.27332380528239,0.09527201143366114,32.62176091469289,2.0,88.02877027704294,0.09436547566754847,26.88730951335097,1.0
70,87.08015490050134,0.09550381411939839,32.64030512955187,2.0,87.89065210571476,0.09453121747314228,26.890624349462847,1.0
71,86.88680797125764,0.09573583043449084,32.65886643475927,2.0,87.75250211195993,0.09469699746564808,26.893939949312962,1.0
72,86.69328285348395,0.09596806057581926,32.67744484606554,2.0,87.61432028844652,0.09486281565386417,26.897256313077282,1.0
73,86.49957938296173,0.09620050474044593,32.696040379235676,2.0,87.47610662784098,0.09502867204659082,26.900573440931815,1.0
74,86.30569739532106,0.09643316312561473,32.71465305004918,2.0,87.33786112280804,0.09519456665263036,26.903891333052606,1.0
75,86.11163672604059,0.0966660359287513,32.7332828743001,2.0,87.19958376601073,0.09536049948078713,26.907209989615744,1.0
76,85.9173972104473,0.09689912334746323,32.75192986779706,2.0,87.06127455011043,0.0955264705398675,26.91052941079735,1.0
77,85.72297868371645,0.09713242557954026,32.77059404636322,2.0,86.92293346776677,0.09569247983867989,26.9138495967736,1.0
78,85.52838098087136,0.09736594282295437,32.78927542583635,2.0,86.78456051163774,0.09585852738603472,26.917170547720694,1.0
79,85.33360393678333,0.09759967527586,32.8079740220688,2.0,86.64615567437961,0.09602461319074447,26.92049226381489,1.0
80,85.13864738617147,0.09783362313659424,32.826689850927536,2.0,86.507718948647,0.09619073726162361,26.923814745232473,1.0
81,84.94351116360257,0.09806778660367693,32.845422928294155,2.0,86.36925032709276,0.09635689960748871,26.927137992149774,1.0
82,84.74819510349094,0.09830216587581087,32.86417327006487,2.0,86.23074980236812,0.09652310023715827,26.930462004743166,1.0
83,84.55269904009832,0.09853676115188202,32.882940892150565,2.0,86.09221736712259,0.09668933915945291,26.933786783189056,1.0
84,84.35702280753367,0.09877157263095959,32.90172581047677,2.0,85.95365301400398,0.09685561638319523,26.937112327663904,1.0
85,84.16116623975309,0.09900660051229629,32.920528040983704,2.0,85.8150567356584,0.09702193191720992,26.940438638344197,1.0
86,83.96512917055965,0.09924184499532843,32.939347599626274,2.0,85.6764285247303,0.09718828577032364,26.94376571540647,1.0
87,83.76891143360324,0.09947730627967612,32.95818450237409,2.0,85.53776837386239,0.09735467795136513,26.9470935590273,1.0
88,83.57251286238045,0.09971298456514345,32.977038765211475,2.0,85.39907627569573,0.09752110846916512,26.9504221693833,1.0
89,83.37593329023441,0.0999488800517187,32.9959104041375,2.0,85.26035222286966,0.09768757733255642,26.953751546651127,1.0
90,83.17917255035469,0.10018499293957436,33.01479943516595,2.0,85.1215962080218,0.09785408455037384,26.957081691007478,1.0
91,82.9822304757771,0.10042132342906747,33.0337058743254,2.0,84.98280822378813,0.09802063013145425,26.960412602629084,1.0
92,82.78510689938358,0.10065787172073971,33.052629737659174,2.0,84.84398826280288,0.09818721408463654,26.96374428169273,1.0
93,82.58780165390205,0.10089463801531753,33.071571041225404,2.0,84.70513631769863,0.09835383641876165,26.967076728375233,1.0
94,82.39031457190629,0.10113162251371247,33.090529801097,2.0,84.56625238110622,0.09852049714267253,26.97040994285345,1.0
95,82.19264548581576,0.1013688254170211,33.10950603336169,2.0,84.42733644565483,0.0986871962652142,26.973743925304284,1.0
96,81.99479422789548,0.10160624692652542,33.12849975412203,2.0,84.28838850397192,0.0988539337952337,26.977078675904675,1.0
97,81.79676063025592,0.10184388724369291,33.147510979495436,2.0,84.14940854868323,0.09902070974158013,26.980414194831603,1.0
98,81.59854452485276,0.10208174657017668,33.166539725614136,2.0,84.01039657241284,0.0991875241131046,26.983750482262092,1.0
99,81.40014574348686,0.10231982510781577,33.185586008625265,2.0,83.87135256778313,0.09935437691866024,26.987087538373206,1.0
100,81.20156411780405,0.10255812305863513,33.204649844690806,2.0,83.73227652741475,0.0995212681671023,26.990425363342045,1.0
101,81.00279947929502,0.10279664062484598,33.22373124998768,2.0,83.59316844392667,0.099688197867288,26.99376395734576,1.0
102,80.80385165929513,0.10303537800884584,33.24283024070767,2.0,83.45402830993615,0.09985516602807662,26.997103320561532,1.0
103,80.60472048898434,0.10327433541321879,33.26194683305751,2.0,83.31485611805876,0.10002217265832951,27.00044345316659,1.0
104,80.40540579938698,0.10351351304073562,33.28108104325885,2.0,83.17565186090836,0.10018921776690996,27.003784355338198,1.0
105,80.2059074213717,0.10375291109435394,33.30023288754832,2.0,83.03641553109712,0.10035630136268346,27.00712602725367,1.0
106,80.00622518565125,0.10399252977721851,33.31940238217748,2.0,82.89714712123549,0.10052342345451741,27.01046846909035,1.0
107,79.80635892278234,0.10423236929266119,33.338589543412894,2.0,82.75784662393222,0.10069058405128133,27.013811681025626,1.0
108,79.60630846316558,0.10447242984420131,33.3577943875361,2.0,82.61851403179438,0.10085778316184675,27.017155663236935,1.0
109,79.40607363704522,0.10471271163554573,33.37701693084366,2.0,82.4791493374273,0.10102502079508724,27.020500415901743,1.0
110,79.20565427450913,0.10495321487058905,33.39625718964712,2.0,82.33975253343465,0.10119229695987843,27.023845939197567,1.0
111,79.00505020548852,0.10519393975341379,33.415515180273104,2.0,82.20032361241836,0.10135961166509798,27.02719223330196,1.0
112,78.8042612597579,0.10543488648829052,33.434790919063246,2.0,82.06086256697866,0.10152696491962562,27.03053929839251,1.0
113,78.60328726693488,0.10567605527967815,33.45408442237425,2.0,81.92136938971409,0.10169435673234309,27.03388713464686,1.0
114,78.4021280564801,0.10591744633222389,33.47339570657791,2.0,81.78184407322148,0.10186178711213423,27.037235742242686,1.0
